id,value
area.2003.NORTE DE SANTANDER,34
area.2006.CAUCA,133
area.2015.AMAZONAS,0
area.2008.GUAVIARE,16
area.2003.ARAUCA,5
area.2003.META,92
area.2009.RISARALDA,51
area.2014.CALDAS,2
area.2012.VAUPES,5
area.2015.CASANARE,0
area.2015.ATLANTICO,0
area.2007.QUINDIO,24
area.2011.CAQUETA,71
area.2004.Por establecer,1124
area.2010.RISARALDA,44
area.2013.ATLANTICO,8
area.2012.ATLANTICO,3
area.2008.CORDOBA,7
area.2013.SANTANDER,38
area.2007.CASANARE,49
area.2011.NORTE DE SANTANDER,14
area.2009.CORDOBA,16
area.2012.CALDAS,2
area.2014.CAQUETA,66
area.2012.CORDOBA,5
area.2015.CHOCO,1
area.2009.ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,0
area.2010.VALLE DEL CAUCA,177
area.2004.SANTANDER,126
area.2005.CASANARE,348
area.2009.ARAUCA,17
area.2007.LA GUAJIRA,12
area.2010.CUNDINAMARCA,97
area.2009.TOLIMA,99
area.2012.CAQUETA,45
area.2014.GUAVIARE,5
area.2013.TOLIMA,33
area.2011.TOLIMA,40
area.2005.GUAINIA,2
area.2007.VAUPES,0
area.2007.BOYACA,29
area.2008.ATLANTICO,42
area.2004.VALLE DEL CAUCA,301
area.2015.GUAINIA,0
area.2008.CHOCO,22
area.2011.CASANARE,43
area.2008.VALLE DEL CAUCA,228
area.2007.NARINO,36
area.2009.PUTUMAYO,49
area.2015.QUINDIO,1
area.2014.NARINO,12
area.2012.HUILA,47
area.2009.LA GUAJIRA,9
area.2013.RISARALDA,23
area.2008.CALDAS,59
area.2006.NARINO,85
area.2012.CAUCA,14
area.2009.VALLE DEL CAUCA,281
area.2011.ATLANTICO,6
area.2003.SUCRE,2
area.2006.AMAZONAS,8
area.2011.HUILA,78
area.2012.NORTE DE SANTANDER,23
area.2015.Por establecer,29
area.2012.VICHADA,0
area.2008.CAUCA,178
area.2008.VICHADA,9
area.2005.META,476
area.2007.SUCRE,42
area.2009.VICHADA,7
area.2015.META,21
area.2010.CORDOBA,15
area.2009.MAGDALENA,8
area.2015.TOLIMA,2
area.2007.VALLE DEL CAUCA,388
area.2004.CASANARE,81
area.2007.CALDAS,31
area.2005.ARAUCA,51
area.2003.CALDAS,11
area.2005.BOGOTA,1008
area.2011.GUAVIARE,15
area.2005.CAQUETA,54
area.2003.SANTANDER,98
area.2009.SUCRE,24
area.2004.CORDOBA,378
area.2006.GUAVIARE,40
